LEMME	SUFF	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
gloussement	['ment']	7.45946045945946	15.8415851584158	0.470878411779179	0	0	0	2	5	0	0	0	0
reproduction	['ion']	2448.64864964865	1366.33663466337	1.79212690893847	1	0	43	7	26	3	13	0	0
amble	['conv']	21.7297307297297	5.94059505940594	3.65783739043521	1	2	1	6	8	0	2	0	0
escompte	['conv']	77.9459469459459	660.39604060396	0.118029094896846	1	3	11	8	6	5	0	0	0
repique	['autre']	2.16216316216216	1E-06	2162163.16216216	0	0	0	5	0	0	0	0	0
fusionnement	['ment']	4.10810910810811	0.495050504950495	8.29836363568383	0	0	6	2	1	0	0	0	0
couplage	['age']	248.324325324324	123.762377237624	2.00646053240834	1	0	2	3	0	3	0	0	0
papillonnement	['ment']	1.08108208108108	0.99010000990099	1.09189179908117	0	0	6	1	0	0	0	0	0
aveuglement	['ment']	68.2162172162162	466.336634663366	0.146281059958884	0	0	20	2	8	0	1	0	0
domestication	['ion']	158.918919918919	48.019802980198	3.30944547990862	1	3	8	2	3	0	0	0	0
fardage	['age']	2.59459559459459	1E-06	2594595.59459459	1	4	1	5	0	1	0	0	0
avertissement	['ment']	1443.67567667568	2063.86138713861	0.699502246455234	1	0	62	5	11	0	3	0	0
fente	['autre']	284.432433432432	70.7920802079208	4.01785669522687	0	0	60	9	8	4	2	0	0
patrouille	['conv']	1439.02702802703	799.009901990099	1.80101275896936	1	0	1	8	10	2	2	0	0
flagellation	['ion']	103.135136135135	41.5841594158416	2.48015440456025	1	3	5	4	6	1	2	0	0
avance	['conv']	5019.45946045946	6457.42574357426	0.777315862354947	1	0	28	13	20	1	5	0	0
placement	['ment']	569.837838837838	3307.92079307921	0.172264656405935	1	1	11	4	15	1	8	0	0
fulguration	['ion']	1.94594694594595	4.95049604950495	0.393081203678678	0	0	11	4	4	2	1	0	0
perversion	['ion']	106.810811810811	323.762377237624	0.329904952892094	1	2	38	2	4	0	2	0	0
laminage	['age']	37.1891901891892	45.5445554554455	0.816545244921095	1	1	7	1	5	1	4	0	0
sucrage	['age']	3.78378478378378	0.495050504950495	7.643229823919	0	0	1	2	0	0	0	0	0
guet	['conv']	255.675676675676	119.306931693069	2.14300772844809	1	0	6	3	3	2	0	0	0
baignade	['autre']	195.567568567568	152.475248524752	1.28261846076493	1	1	6	1	3	0	1	0	0
