NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
ouvreur	ouvrir	ouverture	0.06354252495980363	0.5375757476002219	0.15837925855463791	pVbAc
ouvreuse	ouvrir	ouverture	0.11005355727049784	0.5375757476002219	0.09849016964344307	pVbAc
ouvreuse	ouvrer	ouvrage	0.051636592112219465	0.009907363070816647	0.021536316097599692	pAgVb
ouvreuse	ouvrir	ouvrage	0.11005355727049784	0.15749761695284242	0.021536316097599692	pVbAc
oxygénateur	oxygéner	oxygénation	0.38646789178871044	0.5826872570979934	0.39966088734071803	pVbAc
pacificateur	pacifier	pacification	0.49465806390791905	0.6286097975303258	0.42459934481680467	pVbAc
pailleur	pailler	paillage	0.40407002037843864	0.4960401618674208	0.4991981001696698	pAgAc
palpeur	palper	palpage	0.1845971018209277	0.2610754859560773	0.337025281585283	pAgAc
palpeur	palper	palpation	0.1845971018209277	0.5692273581235997	0.2791915134417531	pVbAc
panseuse	panser	pansement	0.030275539262378207	0.49374297776467885	0.09691038033250772	pVbAc
panseuse	panser	pansage	0.030275539262378207	0.30187033627097515	0.006518751738946463	pVbAc
pardonneur	pardonner	pardon	0.11483099991975967	0.5415606717812416	0.06963992839660443	pVbAc
pareur	parer	parade	0.037503785890320274	0.0674025867935321	0.03617517188516821	pVbAc
pareur	parer	parure	0.037503785890320274	0.19221086582174274	0.37686522754098845	pAgAc
pareur	parer	parage	0.037503785890320274	0.037966059799380926	0.19527521064956502	pAgAc
parieur	parier	pari	0.40937521700242707	0.3751600199592911	0.5371677741912274	pAgAc
parleur	parler	parlerie	0.19195399000143495	0.18680907106570663	0.23667692357070033	pAgAc
parleur	parler	parler	0.19195399000143495	1.0	0.19195399000143495	pVbAc
parleur	parler	parlement	0.19195399000143495	0.0322398422747191	0.03595708141306242	pAgVb
parleur	parler	parlure	0.19195399000143495	0.15146470907353551	0.1591662738896917	pAgVb
parqueteur	parqueter	parquetage	0.16677531979550625	0.32674698197893937	0.18226020603060616	pVbAc
parqueur	parquer	parcage	0.4032074122211694	0.45872581865251033	0.2496767051043406	pVbAc
parqueur	parquer	parking	0.4032074122211694	0.41766166056635257	0.22958032197801756	pVbAc
partageur	partager	partage	0.1546581717568538	0.394030434402979	0.1049567570221995	pVbAc
passeur	passer	passage	0.06668853656659054	0.2794459045605882	0.18480086656685316	pVbAc
passeur	passer	passe	0.06668853656659054	0.1871435149127581	0.4102581897805964	pAgAc
passeur	passer	passée	0.06668853656659054	0.21323455983252315	0.1467647723538218	pVbAc
passeur	passer	passade	0.06668853656659054	0.03284849573646999	0.012962726614457815	pAgVb
passeur	passer	passation	0.06668853656659054	0.18613478398171537	0.08360043153113882	pVbAc
passeuse	passer	passade	0.08607344579070207	0.03284849573646999	0.08853149353600549	pAgAc
passeuse	passer	passation	0.08607344579070207	0.18613478398171537	0.06582212125203371	pVbAc
passeuse	passer	passée	0.08607344579070207	0.21323455983252315	0.06473283423739798	pVbAc
passeuse	passer	passe	0.08607344579070207	0.1871435149127581	0.30657134025954325	pAgAc
passeuse	passer	passage	0.08607344579070207	0.2794459045605882	0.1417188753067329	pVbAc
pasteur	paître	pâturage	0.12589743119368701	0.5459028575384626	0.10453604876940434	pVbAc
pasteurisateur	pasteuriser	pasteurisation	0.2260555220229631	0.6661464255244594	0.22225884871783277	pVbAc
patineur	patiner	patin	0.3882597705983914	0.492945606391313	0.40773016011933855	pVbAc
patineur	patiner	patinage	0.3882597705983914	0.4737921828990303	0.7220400509328314	pAgAc
patineuse	patiner	patin	0.3079310104871696	0.492945606391313	0.25338904583230226	pVbAc
patineuse	patiner	patinage	0.3079310104871696	0.4737921828990303	0.544375553545297	pAgAc
patrouilleur	patrouiller	patrouille	0.48020547297686456	0.5260415373051385	0.58126532431831	pAgAc
patrouilleur	patrouiller	patrouillage	0.48020547297686456	0.22656091637863798	0.3878261126168171	pAgVb
patrouilleuse	patrouiller	patrouillage	0.1396937000152659	0.22656091637863798	0.35369742553238503	pAgAc
patrouilleuse	patrouiller	patrouille	0.1396937000152659	0.5260415373051385	0.2964012052494804	pVbAc
paveur	paver	pavage	0.3862289671406016	0.6207609596127401	0.29971255388650336	pVbAc
paveur	paver	pavement	0.3862289671406016	0.4724482426495423	0.17686951218484748	pVbAc
payeur	payer	paie	0.4828048270355835	0.8142463396697547	0.4735792680503356	pVbAc
payeur	payer	paiement	0.4828048270355835	0.5803195854359003	0.4592851994396045	pVbAc
payeur	payer	paye	0.4828048270355835	0.6755337769861368	0.5231031978504734	pVbAc
payeur	payer	payement	0.4828048270355835	0.6804740696634225	0.5712759120346597	pVbAc
pécheur	pécher	péché	0.5150356867743907	0.5302728589554481	0.7249927559469108	pAgAc
pêcheur	pêcher	pêche	0.6163805465870675	0.6388498895052576	0.6187547329373486	pVbAc
pêcheuse	pêcher	pêche	0.42103899118385557	0.6388498895052576	0.2768524761941721	pVbAc
pédaleur	pédaler	pédalage	0.1273341295530577	0.47668953382995793	0.001456313441700908	pVbAc
peigneur	peigner	peignage	0.4985263634919309	0.5020691586889168	0.6128338331338102	pAgAc
peigneuse	peigner	peignage	0.35619545034356426	0.5020691586889168	0.5468296064703003	pAgAc
peleuse	peler	pelage	0.38124549863268353	0.2986747432607255	0.13596862879354035	pAgVb
pelleteur	pelleter	pelletage	0.3553551156195209	0.25392232541629933	0.1514189188476683	pAgVb
pelleteuse	pelleter	pelletage	0.4529233633703506	0.25392232541629933	0.2197079549491366	pAgVb
pendeur	pendre	pendaison	0.10989417271867478	0.58776568877876	0.20922761808433574	pVbAc
pendeur	pendre	pendage	0.10989417271867478	0.009297489196753524	0.012078044696376265	pAgVb
penseur	penser	pensement	0.27483377606689424	0.08135362048851609	0.09314002010631527	pAgVb
penseur	penser	pensée	0.27483377606689424	0.28199679878286954	0.6564617696502895	pAgAc
penseuse	penser	pensement	0.031653030609850315	0.08135362048851609	0.1373699108723537	pAgAc
penseuse	penser	pensée	0.031653030609850315	0.28199679878286954	0.24003158515754056	pVbAc
